ID;upsell;print area;print edition;print expire
12958746;"Top Ad";"N";"";""
13062893;"Top Ad";"N";"";""
13065873;"Flashing";"N";"";""
13041132;"Top Ad,Print booster";"Y";"G";"2014-12-02 00:00:00"
12807338;"Top Ad";"Y";"";""
13063744;"Top Ad,Print booster";"Y";"K,F,G";"2014-12-02 00:00:00"
13060956;"Top Ad";"N";"";""
13066978;"Top Ad";"Y";"";""
13063491;"Urgent,Top Ad,Flashing,Online highlighted";"N";"";""
12609980;"Top Ad";"Y";"";""
13058517;"Urgent,Top Ad,Online highlighted";"N";"";""
13061974;"Top Ad";"Y";"";""
13069281;"Urgent";"N";"";""
13040792;"Top Ad,Online highlighted,Print booster";"Y";"A,C,B,F,AD";"2014-12-09 00:00:00"
13058768;"Flashing";"Y";"";""
13067712;"Top Ad,Print booster";"Y";"F";"2014-12-02 00:00:00"
13069596;"Flashing";"Y";"";""
13068019;"Top Ad";"Y";"";""
13059028;"Top Ad";"Y";"";""
13067387;"Top Ad";"Y";"";""
10246599;"Urgent";"N";"";""
13066104;"Online highlighted";"Y";"";""
13039438;"Top Ad";"N";"";""
12492121;"Flashing";"N";"";""
13063974;"Top Ad";"Y";"";""
13063309;"Top Ad";"Y";"";""
13003878;"Top Ad";"Y";"";""
12913239;"Top Ad";"Y";"";""
13068247;"Flashing";"N";"";""
12777865;"Top Ad,Online highlighted";"N";"";""
12744230;"Top Ad,Online highlighted,Print booster";"Y";"A";"2014-12-30 00:00:00"
13060101;"Top Ad,Print booster";"Y";"F";"2014-12-09 00:00:00"
13067366;"Urgent";"N";"";""
12988872;"Top Ad";"Y";"";""
13058762;"Top Ad";"Y";"";""
13058795;"Urgent,Top Ad";"Y";"";""
13051851;"Top Ad";"Y";"";""
13062166;"Top Ad,Print booster";"Y";"D,A,E";"2014-12-02 00:00:00"
13058337;"Top Ad";"N";"";""
13062365;"Top Ad";"Y";"";""
13066477;"Top Ad";"N";"";""
11826195;"Top Ad";"N";"";""
13069054;"Top Ad";"N";"";""
12985510;"Top Ad";"N";"";""
13060684;"Top Ad";"Y";"";""
13066696;"Urgent,Top Ad";"Y";"";""
13061516;"Urgent,Print booster";"Y";"G";"2014-12-02 00:00:00"
13058317;"Top Ad";"Y";"";""
12968447;"Top Ad";"N";"";""
13048708;"Top Ad";"Y";"";""
13059925;"Top Ad,Flashing,Online highlighted";"N";"";""
12953613;"Flashing,Online highlighted,Print booster";"Y";"F,G,K";"2014-12-02 00:00:00"
13058648;"Urgent,Top Ad,Flashing";"Y";"";""
13067972;"Urgent,Top Ad,Print booster";"Y";"C,E,A,D,B";"2014-12-09 00:00:00"
13062850;"Top Ad,Print booster";"Y";"D,A,E,C,AD";"2014-12-02 00:00:00"
13057909;"Top Ad,Print booster";"Y";"E";"2014-12-02 00:00:00"
13063931;"Top Ad";"N";"";""
13067514;"Urgent,Top Ad,Print booster";"Y";"P,F,AD";"2014-12-09 00:00:00"
13063885;"Urgent,Top Ad";"N";"";""
13006421;"Top Ad";"N";"";""
13060515;"Top Ad";"N";"";""
12663808;"Top Ad";"N";"";""
13060989;"Top Ad";"N";"";""
13068576;"Top Ad";"Y";"";""
13063315;"Top Ad";"N";"";""
12274840;"Print booster,Print booster";"Y";"E,A,D,C,AD";"2014-12-16 00:00:00"
