feed_category,fa_parent_category,fa_leaf_category,fa_leaf_category_lvl
Microwave Oven,Home Appliances,Microwave Ovens,4
Cooker Hood,"Ovens, Hobs and Cookers","Oven, Hobs and Cooker Accessories",5
Island Hood,"Ovens, Hobs and Cookers","Oven, Hobs and Cooker Accessories",5
Window,DIY,Windows,4
Single Oven,"Ovens, Hobs and Cookers",Ovens,5
Double Oven,"Ovens, Hobs and Cookers",Ovens,5
Combi Microwave and Grill,Home Appliances,Microwave Ovens,4
50/50 Fridge Freezer,Fridges and Freezers,Fridge/freezers,5
70/30 Fridge Freezer,Fridges and Freezers,Fridge/freezers,5
Gas Hob,"Ovens, Hobs and Cookers",Hobs,5
Induction Hob,"Ovens, Hobs and Cookers",Hobs,5
Washing Machine,Washing Machines and Dryers,Washing Machines,5
Dishwasher,Home Appliances,Dishwashers,4
Slimline Dishwasher,Home Appliances,Dishwashers,4
Wine Cooler,Kitchen Fittings,Kitchen Cupboard Accessories,6
Warming Drawer,Kitchen Fittings,Kitchen Cupboard Accessories,6
Tiles,Kitchen Fittings,Tiles,5
Kitchens,Kitchen Fittings,Fitted Kitchens,5
Baths,Bathroom,Other Bathroom Items,5
Doors,DIY,Doors,4
Kitchen Taps,Kitchen Plumbing,Kitchen Taps,6
Bathroom Taps,Bathroom,Bathroom Taps,5
Kitchen Sinks,Kitchen Plumbing,Kitchen Sinks,6
Bathroom Sinks,Bathroom,"Sinks, Pedestals and Toilets",5
