feed_category,fa_parent_category,fa_leaf_category,fa_leaf_category_lvl
Agriculture Businesses,Businesses For Sale,Agricultural Businesses for sale,5
Agricultural Supply Businesses,Businesses For Sale,Agricultural Businesses for sale,5
Farms,Businesses For Sale,Agricultural Businesses for sale,5
Miscellaneous Agriculture Businesses,Businesses For Sale,Agricultural Businesses for sale,5
Ranches,Businesses For Sale,Agricultural Businesses for sale,5
Engineering Businesses,Businesses For Sale,Commercial Businesses for sale,5
Electrical Services Businesses,Businesses For Sale,Commercial Businesses for sale,5
Engineering Consultancies,Businesses For Sale,Commercial Businesses for sale,5
Engineering Manufacturing Businesses,Businesses For Sale,Manufacturing Businesses for sale,5
Mechanical Services Businesses,Businesses For Sale,Commercial Businesses for sale,5
Technical Service Businesses,Businesses For Sale,Commercial Businesses for sale,5
Food Businesses,Businesses For Sale,Catering Businesses for sale,5
Cafes,Businesses For Sale,Catering Businesses for sale,5
Bagel Shops,Businesses For Sale,Catering Businesses for sale,5
Café Bars,Businesses For Sale,Catering Businesses for sale,5
Cafes and Diners,Businesses For Sale,Catering Businesses for sale,5
Coffee Shops,Businesses For Sale,Catering Businesses for sale,5
Fast Food Franchises,Businesses For Sale,Catering Businesses for sale,5
Ice Cream Parlours,Businesses For Sale,Catering Businesses for sale,5
Non Franchise Fast Food Businesses,Businesses For Sale,Catering Businesses for sale,5
Pizza Delivery Businesses,Businesses For Sale,Catering Businesses for sale,5
Sandwich Shops / Sandwich Delivery Businesses,Businesses For Sale,Catering Businesses for sale,5
Smoothie / Yogurt Bars,Businesses For Sale,Catering Businesses for sale,5
Snack Bars,Businesses For Sale,Catering Businesses for sale,5
Tea Rooms,Businesses For Sale,Catering Businesses for sale,5
Catering Businesses,Businesses For Sale,Catering Businesses for sale,5
Food and Drink Distributors,Businesses For Sale,Catering Businesses for sale,5
Food and Drink Manufacturing Businesses,Businesses For Sale,Catering Businesses for sale,5
Food and Drink Wholesalers,Businesses For Sale,Catering Businesses for sale,5
Food Retail Businesses,Businesses For Sale,Catering Businesses for sale,5
Bakers and Confectioners,Businesses For Sale,Catering Businesses for sale,5
Butchers,Businesses For Sale,Catering Businesses for sale,5
Convenience Stores,Businesses For Sale,Catering Businesses for sale,5
Delicatessens,Businesses For Sale,Catering Businesses for sale,5
Fishmongers,Businesses For Sale,Catering Businesses for sale,5
Food Vending Businesses,Businesses For Sale,Catering Businesses for sale,5
Grocers / Fruit and Veg Markets,Businesses For Sale,Catering Businesses for sale,5
Health Food Shops,Businesses For Sale,Catering Businesses for sale,5
Liquor Stores and Off Licences,Businesses For Sale,Catering Businesses for sale,5
Miscellaneous Food Retailers,Businesses For Sale,Catering Businesses for sale,5
Specialist Food Retailers,Businesses For Sale,Catering Businesses for sale,5
Supermarkets,Businesses For Sale,Catering Businesses for sale,5
Restaurants,Businesses For Sale,Catering Businesses for sale,5
American Restaurants,Businesses For Sale,Catering Businesses for sale,5
Asian Restaurants,Businesses For Sale,Catering Businesses for sale,5
Bistros,Businesses For Sale,Catering Businesses for sale,5
Chinese Restaurants,Businesses For Sale,Catering Businesses for sale,5
European Restaurants,Businesses For Sale,Catering Businesses for sale,5
Fish and Chip Shops,Businesses For Sale,Catering Businesses for sale,5
Greek Restaurants,Businesses For Sale,Catering Businesses for sale,5
Indian Restaurants,Businesses For Sale,Catering Businesses for sale,5
Italian Restaurants,Businesses For Sale,Catering Businesses for sale,5
Mexican Restaurants,Businesses For Sale,Catering Businesses for sale,5
Middle Eastern Restaurants,Businesses For Sale,Catering Businesses for sale,5
Miscellaneous Restaurants,Businesses For Sale,Catering Businesses for sale,5
Pizza Restaurants,Businesses For Sale,Catering Businesses for sale,5
Sushi / Seafood Restaurants,Businesses For Sale,Catering Businesses for sale,5
Take Aways,Businesses For Sale,Catering Businesses for sale,5
Franchise Resales,Businesses For Sale,Catering Businesses for sale,5
Food Resale Franchises,Businesses For Sale,Catering Businesses for sale,5
Leisure Resale Franchises,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Miscellaneous Resale Franchises,Businesses For Sale,Other Businesses for sale,5
Retail Resale Franchises,Businesses For Sale,Retail Businesses for sale,5
Service Resale Franchises,Businesses For Sale,Service Business for sale,5
Leisure Businesses,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Entertainment and Fun Businesses,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Amusement Parks and Arcades,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Art Galleries and Museums,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Bookmakers / Gambling Businesses,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Casinos,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Children's Play Businesses,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
Cinemas,Businesses For Sale,"Leisure, Pub and Hotel Businesses for sale",5
