feed_category,fa_parent_category,fa_leaf_category,fa_leaf_category_lvl
Account Manager Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Advertising Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Agriculture Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Area Sales Manager Jobs,"Sales, Retail and Customer Service Jobs",Senior Sales Jobs,3
Aviation Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Banking Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Beauty Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Bilingual Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Building Services Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Business Development Jobs,"Sales, Retail and Customer Service Jobs",Business Development Jobs,3
Business Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Call Centre Jobs,"Sales, Retail and Customer Service Jobs",Telesales Jobs,3
Car Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Catering Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Charity Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Conference Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Construction Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Cosmetic Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Customer Service Jobs,"Sales, Retail and Customer Service Jobs",Customer Service Jobs,3
Dental Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Direct Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Education Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Electronics Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Engineering Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Environmental Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Estate Agency Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Exhibition Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Field Sales Jobs,"Sales, Retail and Customer Service Jobs",Field Sales Jobs,3
Financial Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
FMCG Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Freight Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Government Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Graduate Sales Jobs,"Sales, Retail and Customer Service Jobs",Trainee/Graduate Sales Jobs,3
Horticultural Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Hotel Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Industrial Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Insurance Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Internet Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
IT Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Leisure Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Manufacturing Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Media Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Medical Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
New Media Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Office Equipment Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Oil and Gas Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Packaging Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Pharmaceutical Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Professional Sales Jobs,"Sales, Retail and Customer Service Jobs",Senior Sales Jobs,3
Promotions Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Property Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Public Sector Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Publishing Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Recruitment Jobs,Recruitment and HR Jobs,Recruitment Consultant Jobs,3
Retail Sales Jobs,"Sales, Retail and Customer Service Jobs",Retail Jobs,3
Sales Assistant Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Sales Director Jobs,"Sales, Retail and Customer Service Jobs",Senior Sales Jobs,3
Sales Executive Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Sales Manager Jobs,"Sales, Retail and Customer Service Jobs",Senior Sales Jobs,3
Sales Representative Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Sales Training Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Scientific Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Security Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Software Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Technical Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Telecom Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Telesales Jobs,"Sales, Retail and Customer Service Jobs",Telesales Jobs,3
Transport Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Travel Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
Utility Sales Jobs,"Sales, Retail and Customer Service Jobs",Sales Jobs,3
